id,Question,Option1,Option2,Option3,Option4,Answer,Section,Difficulty,Explanation,Reference
14,"Gestational diabetes mellitus (GDM) increases the lifetime risk of developing Type 2 diabetes by:","2-3 fold","5-7 fold","10-15 fold","20-25 fold",2,Risk Factors,Medium,"Women with GDM have 5-7 fold increased risk of developing Type 2 DM","ADA Standards of Care 2023"
15,"Which medication class has been shown to reduce cardiovascular mortality in Type 2 diabetes?","Sulfonylureas","DPP-4 inhibitors","SGLT2 inhibitors","Thiazolidinediones",3,Management,Medium,"SGLT2 inhibitors like empagliflozin reduce CV mortality in EMPA-REG trial","EMPA-REG OUTCOME Trial - NEJM 2015"
16,"Tight glycemic control (HbA1c < 6.5%) is recommended for which group of diabetic patients?","Elderly patients with multiple comorbidities","Patients with long disease duration","Newly diagnosed patients without comorbidities","All diabetic patients regardless of age",3,Management,Hard,"Individualized targets - tighter control for younger patients without CV disease","ADA Standards of Care 2023"
17,"Which insulin regimen is recommended for newly diagnosed Type 2 diabetes patients with HbA1c > 10%?","Single daily dose insulin","Split-mixed insulin twice daily","Multiple daily injections (basal-bolus)","Premixed insulin twice daily",1,Management,Easy,"Start with single daily basal insulin, titrate gradually","ADA Standards of Care 2023"
18,"The most common chronic complication of diabetes mellitus is:","Diabetic retinopathy","Diabetic nephropathy","Diabetic neuropathy","Coronary artery disease",3,Complications,Easy,"Diabetic peripheral neuropathy affects 60-70% of patients","Diabetic Neuropathy - Review articles"
19,"Screening for diabetic retinopathy should begin:","At diagnosis for Type 1 DM, after 5 years for Type 2 DM","At diagnosis for both Type 1 and Type 2 DM","After 5 years of diabetes for both types","After puberty for Type 1 DM, at diagnosis for Type 2 DM",2,Complications,Easy,"Annual screening from diagnosis for both types","ADA Standards of Care 2023"
20,"Under NPCDCS 2010, annual diabetes screening is recommended for:","All adults above 18 years","All adults above 30 years","All adults above 25 years with risk factors","All adults above 35 years",2,Community Medicine,Easy,"NPCDCS recommends annual screening for all adults ≥30 years","Ghosh A et al. NPCDCS Guidelines"
21,"The role of ASHA (Accredited Social Health Activist) in diabetes care includes:","Prescribing oral hypoglycemics","Conducting laboratory tests","Promoting awareness and follow-up","Performing surgical interventions",3,Community Medicine,Easy,"ASHAs create awareness, ensure follow-up, refer patients, not prescribe/diagnose","NHM ASHA Guidelines"
22,"Which national program provides free oral hypoglycemics for diagnosed diabetics?","RNTCP (Tuberculosis Program)","NPCDCS (National Program for Cancer, Diabetes, CVD)","RMNCHA (Reproductive, Maternal, Neonatal Health)","NVBDCP (Vector Borne Disease Program)",2,Community Medicine,Easy,"NPCDCS provides free OHA and insulin through government network","NPCDCS Operational Guidelines"
23,"First-line treatment for hypoglycemia (blood glucose < 70 mg/dL) in a conscious patient is:","Intravenous dextrose 50%","IM glucagon","15g rapid-acting carbohydrates","Insulin discontinuation",3,Emergency Management,Easy,"Rule of 15: 15g fast-acting carbs, wait 15 minutes, recheck","ADA Hypoglycemia Guidelines 2021"
24,"Classic presentation of diabetic ketoacidosis (DKA) includes all EXCEPT:","Hyperglycemia (>250 mg/dL)","Metabolic acidosis","Ketonaemia/ketonuria","Hyponatremia",4,Emergency Management,Medium,"DKA presents with hyperglycemia, acidosis, ketones; may have hyponatremia from osmotic diuresis","Kitabchi AE et al. DKA Management"
25,"According to ADA guidelines, adults with diabetes should perform at least how much moderate-intensity exercise per week?","75 minutes","120 minutes","150 minutes","300 minutes",3,Lifestyle,Easy,"ADA recommends 150 minutes moderate intensity + muscle strengthening 2x/week","ADA 2023 Lifestyle Management"
